Alimentos;Calorías (unidades);Proteínas (gramos);Grasas  (gramos);Calcio (miligramos);Hierro (miligramos);Vitamina A (unidades internacionales);Tiamina (vitamina B1)(miligramos);Riboflavina (vitamina B2)(miligramos);Niacina (miligramos);Ácido ascórbico (vitamina C) (miligramos)
    Trigo ;332;12,3;2,1;40;3,6;0;0,67;0,12;4,1;0
    Cebada ;344;9,5;1,1;12;2,1;0;0,27;0,06;4,8;0
    Avena ;370;11,6;3,1;64;4,9;0;0,5;0,09;1;0
    Crema de avena ;390;14,2;7,4;53;4,5;0;0,6;0,14;1;0
    Maíz ;356;9,5;4,3;7;2,3;420;0,45;0,11;2;0
    Maíz nuevo ;35;1,3;0,5;2;0,2;130;0,06;0,03;0,6;5
    Derivados del maíz ;330;4,1;1;7;0,8;254;0,18;0,07;0,8;0
    Arroz ;360;6,7;0,7;10;0,9;0;0,08;0,03;1,6;0
    Derivados del arroz ;364;7,2;0,6;9;1,3;0;0,08;0,03;1,6;0
    Harina de trigo (1) ;364;10,5;1;110;2,9;0;0,44;0,26;3,5;0
    Pastas alimenticias ;367;11;1,1;16;1;0;0,13;0,04;1,1;0
    Pan ;303;9,8;1,3;38;2,4;0;0,12;0,08;1,5;0
    Galletas;435;9,6;13,2;49;1,6;0;0,13;0,13;1,1;0
     Papa ;70;1,7;0,1;7;0,6;0;0,08;0,03;1,2;28
     Yuca ;109;0,9;0,2;25;0,5;0;0,04;0,02;0,4;27
     Ñame ;90;2,1;0,2;19;0,7;0;0,08;0,03;0,4;9
     Otoe ;109;1,7;0,3;10;0,9;0;0,07;0,02;0,5;8
     Azúcar de caña cruda ;351;1;-;78;5;0;0;0;0;0
     Azúcar de caña refinada ;387;-;-;0;0;0;0;0;0;0
     Panela ;356;0,4;0,5;51;4,2;0;0,02;0,11;0,3;2
     Miel de caña ;259;-;-;60;3,6;0;0,13;0,06;0,1;0
     Glucosa, levulosa y dextrosa ;350;0;0;0;0;0;0;0;0;0
     Confitería y caramelos ;345;1,5;6,9;57;2,8;37;0,04;0,13;1;0
     Chocolates varios ;507;4,2;35,7;30;2,6;20;0,01;0,08;0,5;0
     Lentejas ;346;24,2;1,8;56;6,1;100;0,5;0,21;1,8;3
     Frijol ;341;22,1;1,7;137;6,7;30;0,54;0,18;2,1;3
     Guandú ;343;20,9;1,7;129;5,8;130;0,5;0,14;2,3;4
     Poroto ;342;23,4;1,8;76;5,7;40;0,92;0,18;1,9;2
     Arvejas y guisantes;346;22,5;1,8;64;4,8;100;0,72;0,15;2,4;4
     Otras leguminosas secas ;351;21,8;3,3;120;5,4;200;0,47;0,24;2;5
     Ajonjolí ;574;18,1;51,3;1200;9;0;0,8;0,22;4,5;0
     Coco (2) ;111;1,7;10,4;4;0,6;0;0,03;0,01;0,3;1
     Maní ;546;25,6;43,3;52;1,9;30;0,84;0,12;16;0
     Nueces ;610;16;58;100;3;0;0,32;0,25;1,5;0
     Otras oleaginosas ;491;26,2;34,7;280;7,3;2;0,82;0,27;5,7;-
     Res (3) ;187;15,2;13,5;9;1,8;25;0,05;0,14;3,2;0
     Cerdo (4);175;12,6;13,5;6;13;0;0,38;0,11;2,5;0
     Gallina ;122;12,3;7,7;7;0,9;250;0,06;0,1;4,9;0
Ensaldas;222;15,2;16,4;10;2,4;2;0,5;0,13;2,8;0
Despojos viceras (res);145;15,5;8;12;8,2;3272;0,34;0,87;4,4;5
     Despojos, vísceras (cerdo) ;125;17;4,9;11;15,4;2062;0,26;1,71;7,2;6
     Huevos de gallina ;144;11;10,4;44;2,2;890;0,09;0,27;0,1;0
     Pescados frescos ;132;18,8;5,7;31;1;50;0,06;0,15;2,5;0
     Atún y sardina ;251;21;17,5;42;1,3;110;0,05;0,2;3,3;0
     Bacalao;130;29;0,7;225;0;0;0;0;0;0
     Camarones ;86;17,3;0,2;94;1,6;-;0,04;0,1;1,5;-
     Leche fresca y pasteurizada;65;3,5;3,5;119;0,1;140;0,04;0,18;0,1;1
     Leche condensada ;320;8,1;8,4;293;0,2;330;0,05;0,43;0,2;1
     Leche evaporada ;138;7;7,9;240;0,2;320;0,05;0,35;0,2;1
     Leche en polvo ;492;26;27;897;0,2;1080;0,24;1,31;0,7;4
     Queso ;341;34;21;950;1,4;950;0,02;0,61;0,2;0
     Cebolla ;37;1,3;0,2;30;0,5;50;0,03;0,04;0,2;8
     Ají pimiento ;24;1,1;0,2;6;0,7;505;0,05;0,06;0,8;87
     Repollo ;17;1,1;0,1;35;0,3;70;0,04;0,03;0,2;35
     Tomate ;19;1,1;0,3;11;0,6;680;0,06;0,04;0,5;23
     Zanahoria ;37;1;0,2;31;0,7;1840;0,06;0,04;0,6;6
